time,open,high,low,close,EMA,EMA,Volume
1745388600,3313.535,3317.35,3309.915,3316.595,3330.358975889039,3321.576126311605,4886
1745388900,3316.585,3324.85,3314.335,3322.165,3329.6140689900353,3321.6939010492842,5123
1745389200,3322.17,3326.085,3319.7,3320.255,3328.7632445363956,3321.4061208394273,3981
1745389500,3320.29,3322.455,3316.915,3322.45,3328.1893132149053,3321.614896671542,4310
1745389800,3322.475,3323.045,3319.885,3322.16,3327.641193831732,3321.7239173372336,4120
1745390100,3322.165,3322.875,3318.015,3319.025,3326.857903483393,3321.184133869787,4022
1745390400,3319.03,3321.295,3312.615,3312.835,3325.583094075812,3319.5143070958293,4130
1745390700,3312.785,3318.08,3312.165,3316.585,3324.7650855234656,3318.9284456766636,4032
1745391000,3316.59,3316.685,3297.86,3298.54,3322.380986839514,3314.850756541331,5740
1745391300,3298.57,3303.575,3291.735,3301.11,3320.4472607631947,3312.102605233065,5759
1745391600,3301.09,3310.775,3301.09,3310.6,3319.5520552392677,3311.802084186452,3454
1745391900,3310.65,3312.94,3308.035,3310.72,3318.749141126607,3311.585667349161,2430
1745392200,3310.745,3311.185,3306.075,3307.865,3317.759673751461,3310.841533879329,3395
1745392500,3307.785,3308.115,3303.35,3305.9,3316.681521592237,3309.8532271034633,3462
1745392800,3305.895,3307.88,3303.465,3307.005,3315.8018378111246,3309.2835816827705,2996
1745393100,3306.955,3311.03,3306.205,3309.21,3315.2025798282953,3309.2688653462164,2975
1745393400,3309.17,3312.4,3307.485,3310.765,3314.7991634802684,3309.568092276973,2878
1745393700,3310.52,3313.88,3309.65,3312.62,3314.601057709335,3310.1784738215783,2551
1745394000,3312.625,3318.81,3312.34,3318.305,3314.937779735759,3311.8037790572625,2273
1745394300,3318.22,3318.22,3313.59,3314.055,3314.857527032508,3312.25402324581,1555
1745394600,3314.165,3319.55,3313.415,3319.26,3315.2577518477347,3313.655218596648,1603
1745394900,3319.315,3320.655,3317.365,3319.24,3315.6197744070314,3314.7721748773183,1364
1745395200,3319.3,3319.525,3315.535,3317.53,3315.7934312791194,3315.323739901855,1572
1745395500,3317.55,3318.43,3313.06,3315.065,3315.727210253745,3315.2719919214837,2066
1745395800,3315.025,3315.56,3305.655,3306.59,3314.896554776132,3313.535593537187,2865
1745396100,3306.635,3312.265,3306.095,3309.855,3314.4382316146653,3312.7994748297497,2120
1745396400,3309.865,3315.89,3309.73,3315.865,3314.567937831514,3313.4125798637997,1448
1745396700,3315.88,3317.065,3314.145,3315.945,3314.6931253013763,3313.91906389104,1786
1745397000,3315.935,3317.725,3314.5,3314.74,3314.6973866376147,3314.083251112832,1404
1745397300,3314.925,3318.97,3314.465,3316.605,3314.870806034195,3314.5876008902655,1415
1745397600,3316.61,3319.14,3316.33,3317.545,3315.113914576541,3315.1790807122125,1191
1745397900,3317.86,3319.615,3317.165,3317.78,3315.3562859786734,3315.69926456977,909
1745398200,3317.92,3320.825,3317.495,3320.535,3315.8270781624306,3316.666411655816,1062
1745398500,3320.715,3321.71,3319.38,3321.71,3316.3618892385734,3317.6751293246525,964
1745398800,3321.73,3327.375,3320.355,3327.34,3317.359899307794,3319.608103459722,2099
1745399100,3327.34,3329.105,3325.715,3328.52,3318.374453916176,3321.3904827677775,2074
1745399400,3328.51,3333.01,3327.99,3331.93,3319.6067762874327,3323.498386214222,2184
1745399700,3331.955,3337.475,3329.455,3337.27,3321.212523897666,3326.2527089713776,1733
1745400000,3337.255,3340.6,3335.76,3337.525,3322.6954762706055,3328.507167177102,1843
1745400300,3337.635,3338.73,3334.525,3335.75,3323.8822511550957,3329.955733741682,1546
1745400600,3335.8,3335.93,3331.65,3335.245,3324.915228322814,3331.0135869933456,1538
1745400900,3335.285,3337.92,3335.08,3335.295,3325.858843929831,3331.8698695946764,1057
1745401200,3335.31,3335.865,3328.9,3331.7,3326.3898581180283,3331.835895675741,1738
1745401500,3331.69,3331.69,3327.945,3328.48,3326.5798710163895,3331.164716540593,1312
1745401800,3328.355,3328.355,3322.64,3323.63,3326.3117009239904,3329.6577732324745,1476
1745402100,3323.605,3324.03,3317.37,3317.77,3325.535182658173,3327.2802185859796,2137
1745402400,3317.74,3327.29,3316.755,3326.57,3325.6292569619754,3327.1381748687836,1875
1745402700,3326.555,3328.56,3325.29,3326.595,3325.717051783614,3327.029539895027,985
1745403000,3326.515,3330.665,3324.98,3328.815,3325.998683439649,3327.3866319160215,1255
1745403300,3328.785,3328.955,3326.09,3326.995,3326.089257672408,3327.308305532817,1190
1745403600,3326.98,3329.86,3326.6,3329.28,3326.379325156735,3327.7026444262538,1030
1745403900,3329.145,3334.725,3325.81,3334.3,3327.0993865061228,3329.022115541003,1647
1745404200,3334.285,3336.375,3329.635,3331.485,3327.4980786419296,3329.5146924328023,1814
1745404500,3331.465,3332.545,3327.85,3329.945,3327.720526038118,3329.600753946242,1665
1745404800,3329.965,3330.82,3327.535,3330.365,3327.9609327619255,3329.7536031569934,877
1745405100,3330.175,3330.255,3326.595,3327.1,3327.882666147205,3329.2228825255947,1262
1745405400,3326.97,3331.665,3325.42,3331.57,3328.217878315641,3329.692306020476,1575
1745405700,3331.555,3332.355,3329.28,3330.265,3328.4039802869465,3329.806844816381,1831
